id,R-ids,datasets,expected_reaction,wrong_reactions,reaction
63,['Jaworski_308'],['Jaworski'],CCOC(=O)CC(C[N+]([O-])=O)c1cc2ccccc2o1>>O=C1CC(CN1)c1cc2ccccc2o1.CCO.O.[OH-],[],CCOC(=O)CC(C[N+]([O-])=O)c1cc2ccccc2o1>>O=C1CC(CN1)c1cc2ccccc2o1
65,['Jaworski_326'],['Jaworski'],CC(C)(C)OC(=O)NCC1CO1.Cc1ccc(N)cc1F.CN(C)C=O.[O]>>Cc1ccc(cc1F)N1CC(CNC(=O)OC(C)(C)C)OC1=O.CNC.O,[],CC(C)(C)OC(=O)NCC1CO1.Cc1ccc(N)cc1F.CN(C)C=O>>Cc1ccc(cc1F)N1CC(CNC(=O)OC(C)(C)C)OC1=O
68,['Jaworski_369'],['Jaworski'],,['CCOC(C)(OCC)OCC.OCC(CO)(CO)CO>>CC12OCC(CO)(CO1)CO2'],CCOC(C)(OCC)OCC.OCC(CO)(CO)CO>>CC12OCC(CO)(CO1)CO2
69,['Jaworski_382'],['Jaworski'],,['CC(C)(C)OC(=O)N1CCC(NCc2ccccc2[N+](=O)[O-])CC1.O=C(n1ccnc1)n1ccnc1>>CC(C)(C)OC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1'],O=C(n1ccnc1)n1ccnc1.CC(C)(C)OC(=O)N1CCC(CC1)NCc1ccccc1[N+]([O-])=O>>CC(C)(C)OC(=O)N1CCC(CC1)N1Cc2ccccc2NC1=O
70,['golden_dataset_184'],['golden_dataset'],O=CC1=C(O)C(OC)=CC=C1.OO.OO>>OC1=C(O)C=CC=C1OC.O=CO.OO,[],[O:13]=[CH:12][C:11]1=[C:14]([OH:15])[C:7]([O:6][CH3:5])=[CH:8][CH:9]=[CH:10]1.[OH:1][OH:2].[OH:3][OH:4]>>[OH:15][C:14]1=[C:11]([OH:2])[CH:10]=[CH:9][CH:8]=[C:7]1[O:6][CH3:5]
71,['golden_dataset_186'],['golden_dataset'],[C:9](=[O:14])([CH3:8])[O:10][C:11](=[O:13])[CH3:12].[C:16](=[O:21])([CH3:15])[O:17][C:18](=[O:20])[CH3:19].[CH2:2]([OH:1])[CH2:3][CH2:4][CH2:5][CH2:6][OH:7]>>[C:11]([O:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][C:18](=[O:20])[CH3:19])(=[O:13])[CH3:12].[OH:10][C:11]([CH3:12])=[O:13].[OH:17][C:18]([CH3:19])=[O:20],[],[C:9](=[O:14])([CH3:8])[O:10][C:11](=[O:13])[CH3:12].[C:16](=[O:21])([CH3:15])[O:17][C:18](=[O:20])[CH3:19].[CH2:2]([OH:1])[CH2:3][CH2:4][CH2:5][CH2:6][OH:7]>>[C:11]([O:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][C:18](=[O:20])[CH3:19])(=[O:13])[CH3:12]
73,['golden_dataset_194'],['golden_dataset'],C1=C(N)C=CC([N+]([O-])=O)=C1.CC1(C)C(C)(C)OB(O1)B2OC(C)(C)C(C)(C)O2.N([O-])=O>>CC1(C)C(C)(C)OB(O1)C=2C=CC(=CC=2)[N+]([O-])=O.CC1(C)OB(N)OC1(C)C.O=N[O-],[],[CH:6]1=[C:5]([NH2:4])[CH:10]=[CH:9][C:8]([N+:11]([O-:12])=[O:13])=[CH:7]1.[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[B:23]2[O:24][C:25]([CH3:30])([CH3:31])[C:26]([CH3:28])([CH3:29])[O:27]2.[N:2]([O-:1])=[O:3]>>[CH3:14][C:15]1([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19][B:18]([O:17]1)[C:5]=2[CH:10]=[CH:9][C:8](=[CH:7][CH:6]=2)[N+:11]([O-:12])=[O:13]
74,['golden_dataset_196'],['golden_dataset'],C(CN)C1=CC=CC=C1.C=1C=CC(=CC=1)C=O.CC(C)(C)OOC(C)(C)C.[O]>>C1=CC(C(NCCC=2C=CC=CC=2)=O)=CC=C1.CC(C)(C)OOC(C)(C)C.O,[],[CH2:21]([CH2:20][NH2:19])[C:22]1=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]1.[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:18].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7]([CH3:8])([CH3:9])[CH3:10]>>[CH:14]1=[CH:13][C:12]([C:11]([NH:19][CH2:20][CH2:21][C:22]=2[CH:23]=[CH:24][CH:25]=[CH:26][CH:27]=2)=[O:18])=[CH:17][CH:16]=[CH:15]1
75,['golden_dataset_197'],['golden_dataset'],[CH:9]=1[CH:10]=[C:11]([C:12]([OH:13])=[O:14])[C:6](=[CH:7][CH:8]=1)[NH2:5].[O-:1][C:2]([O-:3])=[O:4].[O:22]=[S:20](=[O:23])([Cl:21])[C:19]1=[CH:18][CH:17]=[C:16]([CH3:15])[CH:25]=[CH:24]1>>[O:22]=[S:20](=[O:23])([NH:5][C:6]=1[C:11](=[CH:10][CH:9]=[CH:8][CH:7]=1)[C:12](=[O:14])[O-:13])[C:19]2=[CH:18][CH:17]=[C:16]([CH3:15])[CH:25]=[CH:24]2.[Cl-:21].[O:3]=[C:2]=[O:4].[OH2:1],[],[CH:9]=1[CH:10]=[C:11]([C:12]([OH:13])=[O:14])[C:6](=[CH:7][CH:8]=1)[NH2:5].[O:22]=[S:20](=[O:23])([Cl:21])[C:19]1=[CH:18][CH:17]=[C:16]([CH3:15])[CH:25]=[CH:24]1.[O-:1][C:2]([O-:3])=[O:4]>>[O:22]=[S:20](=[O:23])([NH:5][C:6]=1[C:11](=[CH:10][CH:9]=[CH:8][CH:7]=1)[C:12](=[O:14])[O-:13])[C:19]2=[CH:18][CH:17]=[C:16]([CH3:15])[CH:25]=[CH:24]2
89,['golden_dataset_228'],['golden_dataset'],[C-:4]#[O+:3].[C-:2]#[O+:1].[CH3:24][N:23]([CH3:25])[C:6]([C:7]1=[CH:8][CH:9]=[CH:10][C:11](=[C:15]1[CH:16]=[CH:17][C:18]2=[CH:19][CH:20]=[CH:21][O:22]2)[N+:12]([O-:13])=[O:14])=[O:5]>>O=C=O.O=C=O.[CH3:24][N:23]([CH3:25])[C:6]([C:7]=1[CH:8]=[CH:9][CH:10]=[C:11]2[NH:12][C:17]([C:18]=3[O:22][CH:21]=[CH:20][CH:19]=3)=[CH:16][C:15]=12)=[O:5],[],[CH3:24][N:23]([CH3:25])[C:6]([C:7]1=[CH:8][CH:9]=[CH:10][C:11](=[C:15]1[CH:16]=[CH:17][C:18]2=[CH:19][CH:20]=[CH:21][O:22]2)[N+:12]([O-:13])=[O:14])=[O:5].[C-:2]#[O+:1].[C-:4]#[O+:3]>>[CH3:24][N:23]([CH3:25])[C:6]([C:7]=1[CH:8]=[CH:9][CH:10]=[C:11]2[NH:12][C:17]([C:18]=3[O:22][CH:21]=[CH:20][CH:19]=3)=[CH:16][C:15]=12)=[O:5]
90,['golden_dataset_229'],['golden_dataset'],,['O=C(c1cccc([N+](=O)[O-])c1C=Cc1ccc(F)cc1)N1CCCC1.[C-]#[O+].[C-]#[O+]>>O=C(c1cccc2[nH]c(-c3ccc(F)cc3)cc12)N1CCCC1.[C-]#[O+].[C-]#[O+].[OH-].O'],[CH2:25]1[CH2:26][CH2:27][CH2:28][N:24]1[C:23]([C:22]2=[CH:21][CH:20]=[CH:19][C:15](=[C:14]2[CH:13]=[CH:12][C:9]3=[CH:8][CH:7]=[C:6]([F:5])[CH:11]=[CH:10]3)[N+:16](=[O:18])[O-:17])=[O:29].[C-:1]#[O+:2].[C-:3]#[O+:4]>>[CH2:25]1[CH2:26][CH2:27][CH2:28][N:24]1[C:23](=[O:29])[C:22]=2[C:14]3=[C:15]([NH:16][C:12]([C:9]=4[CH:10]=[CH:11][C:6](=[CH:7][CH:8]=4)[F:5])=[CH:13]3)[CH:19]=[CH:20][CH:21]=2
92,['golden_dataset_231'],['golden_dataset'],,['O=C(c1cccc([N+](=O)[O-])c1C=Cc1ccc2c(c1)OCO2)N1CCOCC1.[C-]#[O+].[C-]#[O+]>>O=C(c1cccc2[nH]c(-c3ccc4c(c3)OCO4)cc12)N1CCOCC1.[C-]#[O+].[C-]#[O+].[OH-].O'],[CH2:29]1[CH2:28][N:27]([CH2:32][CH2:31][O:30]1)[C:6]([C:7]2=[CH:8][CH:9]=[CH:10][C:11]([N+:12]([O-:13])=[O:14])=[C:15]2[CH:16]=[CH:17][C:18]3=[CH:23][CH:22]=[C:21]4[O:24][CH2:25][O:26][C:20]4=[CH:19]3)=[O:5].[C-:1]#[O+:2].[C-:3]#[O+:4]>>[CH2:28]1[CH2:29][O:30][CH2:31][CH2:32][N:27]1[C:6](=[O:5])[C:7]=2[CH:8]=[CH:9][CH:10]=[C:11]3[NH:12][C:17](=[CH:16][C:15]=23)[C:18]=4[CH:19]=[C:20]5[O:26][CH2:25][O:24][C:21]5=[CH:22][CH:23]=4
93,['golden_dataset_237'],['golden_dataset'],[C-:1]#[O+:2].[C-:3]#[O+:4].[CH2:10]1[CH2:9][N:8]([CH2:34][CH2:33][N:11]1[C:12](=[O:32])[C:13]=2[C:21](=[C:17]([CH:16]=[CH:15][CH:14]=2)[N+:18](=[O:20])[O-:19])[CH:22]=[CH:23][C:24]=3[CH:25]=[C:26]([Cl:27])[CH:28]=[C:29]([CH:31]=3)[F:30])[S:6](=[O:35])(=[O:7])[CH3:5]>>C(=O)=O.C(=O)=O.[CH2:9]1[CH2:10][N:11]([CH2:33][CH2:34][N:8]1[S:6](=[O:35])(=[O:7])[CH3:5])[C:12]([C:13]2=[C:21]3[C:17]([NH:18][C:23]([C:24]=4[CH:25]=[C:26]([CH:28]=[C:29]([CH:31]=4)[F:30])[Cl:27])=[CH:22]3)=[CH:16][CH:15]=[CH:14]2)=[O:32],[],[CH2:10]1[CH2:9][N:8]([CH2:34][CH2:33][N:11]1[C:12](=[O:32])[C:13]=2[C:21](=[C:17]([CH:16]=[CH:15][CH:14]=2)[N+:18](=[O:20])[O-:19])[CH:22]=[CH:23][C:24]=3[CH:25]=[C:26]([Cl:27])[CH:28]=[C:29]([CH:31]=3)[F:30])[S:6](=[O:35])(=[O:7])[CH3:5].[C-:1]#[O+:2].[C-:3]#[O+:4]>>[CH2:9]1[CH2:10][N:11]([CH2:33][CH2:34][N:8]1[S:6](=[O:35])(=[O:7])[CH3:5])[C:12]([C:13]2=[C:21]3[C:17]([NH:18][C:23]([C:24]=4[CH:25]=[C:26]([CH:28]=[C:29]([CH:31]=4)[F:30])[Cl:27])=[CH:22]3)=[CH:16][CH:15]=[CH:14]2)=[O:32]
94,['golden_dataset_239'],['golden_dataset'],[C-:1]#[O+:2].[C-:3]#[O+:4].[CH3:5][C:6]([CH3:39])([CH3:7])[O:8][C:9]([N:10]1[CH2:11][CH2:12][N:13]([CH2:36][CH2:37]1)[C:14]([C:15]2=[CH:16][CH:17]=[CH:18][C:19]([N+:20]([O-:21])=[O:22])=[C:23]2[CH:24]=[CH:25][C:26]3=[CH:31][CH:30]=[C:29]4[O:32][CH2:33][O:34][C:28]4=[CH:27]3)=[O:35])=[O:38]>>[O:4]=[C:5]=[O:6].[CH3:5][C:6]([CH3:39])([CH3:7])[O:8][C:9]([N:10]1[CH2:11][CH2:12][N:13]([CH2:36][CH2:37]1)[C:14]([C:15]=2[CH:16]=[CH:17][CH:18]=[C:19]3[C:23]=2[CH:24]=[C:25]([NH:20]3)[C:26]=4[CH:27]=[C:28]5[O:34][CH2:33][O:32][C:29]5=[CH:30][CH:31]=4)=[O:35])=[O:38].[O:1]=[C:2]=[O:3],[],[CH3:5][C:6]([CH3:39])([CH3:7])[O:8][C:9]([N:10]1[CH2:11][CH2:12][N:13]([CH2:36][CH2:37]1)[C:14]([C:15]2=[CH:16][CH:17]=[CH:18][C:19]([N+:20]([O-:21])=[O:22])=[C:23]2[CH:24]=[CH:25][C:26]3=[CH:31][CH:30]=[C:29]4[O:32][CH2:33][O:34][C:28]4=[CH:27]3)=[O:35])=[O:38].[C-:1]#[O+:2].[C-:3]#[O+:4]>>[CH3:5][C:6]([CH3:39])([CH3:7])[O:8][C:9]([N:10]1[CH2:11][CH2:12][N:13]([CH2:36][CH2:37]1)[C:14]([C:15]=2[CH:16]=[CH:17][CH:18]=[C:19]3[C:23]=2[CH:24]=[C:25]([NH:20]3)[C:26]=4[CH:27]=[C:28]5[O:34][CH2:33][O:32][C:29]5=[CH:30][CH:31]=4)=[O:35])=[O:38]
96,['golden_dataset_244'],['golden_dataset'],C(CC)C#CCCC.C1=C(I)C(NC)=CC=C1>>[H+].[I-].C1=CC=C2C(CCC)=C(N(C)C2=C1)CCC,[],[CH2:7]([CH2:6][CH3:5])[C:8]#[C:9][CH2:10][CH2:11][CH3:12].[CH:19]1=[C:20]([I:21])[C:15]([NH:14][CH3:13])=[CH:16][CH:17]=[CH:18]1.[O-:1][C:2]([O-:3])=[O:4]>>[CH:17]1=[CH:18][CH:19]=[C:20]2[C:8]([CH2:7][CH2:6][CH3:5])=[C:9]([N:14]([CH3:13])[C:15]2=[CH:16]1)[CH2:10][CH2:11][CH3:12]
102,['golden_dataset_257'],['golden_dataset'],,['O=C(c1cccc([N+](=O)[O-])c1C=Cc1ccc(F)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1.[C-]#[O+].[C-]#[O+]>>O=C(c1cccc2[nH]c(-c3ccc(F)cc3)cc12)N1CCC(n2c(=O)[nH]c3ccccc32)CC1.[C-]#[O+].[C-]#[O+].[OH-].O'],[CH2:25]1[CH2:26][CH:27]([CH2:38][CH2:39][N:24]1[C:23](=[O:40])[C:22]=2[C:14]([CH:13]=[CH:12][C:9]3=[CH:8][CH:7]=[C:6]([CH:11]=[CH:10]3)[F:5])=[C:15]([CH:19]=[CH:20][CH:21]=2)[N+:16]([O-:17])=[O:18])[N:28]4[C:32]5=[C:31]([CH:36]=[CH:35][CH:34]=[CH:33]5)[NH:30][C:29]4=[O:37].[C-:1]#[O+:2].[C-:3]#[O+:4]>>[CH2:26]1[CH2:25][N:24]([CH2:39][CH2:38][CH:27]1[N:28]2[C:29](=[O:37])[NH:30][C:31]3=[CH:36][CH:35]=[CH:34][CH:33]=[C:32]23)[C:23](=[O:40])[C:22]=4[C:14]=5[CH:13]=[C:12]([C:9]=6[CH:10]=[CH:11][C:6]([F:5])=[CH:7][CH:8]=6)[NH:16][C:15]=5[CH:19]=[CH:20][CH:21]=4
104,['golden_dataset_261'],['golden_dataset'],[CH2:10]([CH2:9][CH3:8])[CH2:11][CH2:12][CH2:13][C:14]#[C:15][C:16]([Cl:17])=[CH2:18].[CH3:1][CH:2]([CH3:3])[N-:4][CH:5]([CH3:6])[CH3:7]>>[CH2:10]([CH2:9][CH3:8])[CH2:11][CH2:12][CH2:13][C:14]#[C:15][C:16]#[CH:18].[CH3:1][CH:2]([CH3:3])[N-:4][CH:5]([CH3:6])[CH3:7].[ClH:17],[],[CH2:10]([CH2:9][CH3:8])[CH2:11][CH2:12][CH2:13][C:14]#[C:15][C:16]([Cl:17])=[CH2:18].[CH3:1][CH:2]([CH3:3])[N-:4][CH:5]([CH3:6])[CH3:7]>>[CH2:10]([CH2:9][CH3:8])[CH2:11][CH2:12][CH2:13][C:14]#[C:15][C:16]#[CH:18]
105,['golden_dataset_268'],['golden_dataset'],C1C(=O)C(CC(=O)C1C(OCC)=O)C(OCC)=O.O.O.[H].[H].[H].[H]>>C1CC(CCC1=O)=O.CCOC=O.CCOC=O.O.O,[],[CH2:6]1[C:7](=[O:17])[CH:8]([CH2:14][C:15](=[O:16])[CH:5]1[C:4]([O:3][CH2:2][CH3:1])=[O:18])[C:9]([O:10][CH2:11][CH3:12])=[O:13].[OH2:19].[OH2:20]>>[CH2:5]1[CH2:6][C:7]([CH2:8][CH2:14][C:15]1=[O:16])=[O:17]
109,['golden_dataset_280'],['golden_dataset'],[CH:6]=1[CH:7]=[C:8]([C:9]#[C:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)[C:3]([O:2][CH3:1])=[CH:4][CH:5]=1.[I:17][I:18]>>[CH:12]=1[C:11](=[CH:16][CH:15]=[CH:14][CH:13]=1)[C:10]=2[O:2][C:3]3=[C:8]([CH:7]=[CH:6][CH:5]=[CH:4]3)[C:9]=2[I:18].[CH3:1][I:18],[],[CH:6]=1[CH:7]=[C:8]([C:9]#[C:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)[C:3]([O:2][CH3:1])=[CH:4][CH:5]=1.[I:17][I:18]>>[CH:12]=1[C:11](=[CH:16][CH:15]=[CH:14][CH:13]=1)[C:10]=2[O:2][C:3]3=[C:8]([CH:7]=[CH:6][CH:5]=[CH:4]3)[C:9]=2[I:18]
111,['golden_dataset_286'],['golden_dataset'],C1=CC=2C(C=C1)=CC(=CC=2)C=O.C1CCCN1.CC(C)(C)OO.[O]>>C1CCCN1C(=O)C=2C=C3C=CC=CC3=CC=2.CC(C)(C)OO.O,[],[CH:14]1=[CH:15][C:16]=2[C:11]([CH:12]=[CH:13]1)=[CH:10][C:9](=[CH:18][CH:17]=2)[CH:8]=[O:7].[CH2:21]1[CH2:20][CH2:19][CH2:23][NH:22]1.[CH3:1][C:2]([CH3:3])([CH3:6])[O:4][OH:5]>>[CH2:21]1[CH2:20][CH2:19][CH2:23][N:22]1[C:8](=[O:7])[C:9]=2[CH:10]=[C:11]3[CH:12]=[CH:13][CH:14]=[CH:15][C:16]3=[CH:17][CH:18]=2
114,['golden_dataset_295'],['golden_dataset'],[C:20]=1([C:19](=[CH:24][CH:23]=[CH:22][CH:21]=1)[O:18][C:11]=2[C:10]([Cl:9])=[CH:17][C:14]([C:15]#[N:16])=[CH:13][CH:12]=2)[Br:25].[CH3:5][C:4]([CH3:6])([CH3:7])[O:3][C:2](=[O:8])[CH3:1].[OH2:26]>>[CH3:5][C:4]([CH3:6])([CH3:7])[NH:16][C:15](=[O:26])[C:14]=1[CH:13]=[CH:12][C:11]([O:18][C:19]2=[CH:24][CH:23]=[CH:22][CH:21]=[C:20]2[Br:25])=[C:10]([CH:17]=1)[Cl:9].[CH3:1][C:2]([OH:3])=[O:8],[],[C:20]=1([C:19](=[CH:24][CH:23]=[CH:22][CH:21]=1)[O:18][C:11]=2[C:10]([Cl:9])=[CH:17][C:14]([C:15]#[N:16])=[CH:13][CH:12]=2)[Br:25].[CH3:5][C:4]([CH3:6])([CH3:7])[O:3][C:2](=[O:8])[CH3:1].[OH2:26]>>[CH3:5][C:4]([CH3:6])([CH3:7])[NH:16][C:15](=[O:26])[C:14]=1[CH:13]=[CH:12][C:11]([O:18][C:19]2=[CH:24][CH:23]=[CH:22][CH:21]=[C:20]2[Br:25])=[C:10]([CH:17]=1)[Cl:9]
119,['golden_dataset_302'],['golden_dataset'],CC(C)(C)[Si](C)(C)OCCl.C(CO)S>>Cl.CC(C)(C)[Si](C)(C)OCSCCO,[],[CH2:18]([CH2:17][OH:16])[SH:19].[CH3:1][C:2]([CH3:3])([CH3:5])[O-:4].[CH3:6][C:7]([CH3:8])([CH3:15])[Si:9]([CH3:10])([CH3:14])[O:11][CH2:12][Cl:13]>>[CH3:6][C:7]([CH3:8])([CH3:15])[Si:9]([CH3:10])([CH3:14])[O:11][CH2:12][S:19][CH2:18][CH2:17][OH:16]
130,['golden_dataset_351'],['golden_dataset'],[O:13]=[C:11]([CH2:10][C:9]#[N:8])[OH:12].[O:1]=[CH:2][C:3]1=[CH:4][CH:5]=[CH:6][O:7]1>>[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH:2]=[CH:10][C:9]#[N:8].[OH:1][C:11]([OH:12])=[O:13],[],[O:13]=[C:11]([CH2:10][C:9]#[N:8])[OH:12].[O:1]=[CH:2][C:3]1=[CH:4][CH:5]=[CH:6][O:7]1>>[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH:2]=[CH:10][C:9]#[N:8]
134,['golden_dataset_365'],['golden_dataset'],C1=C(C(=CC=C1)N)N.COC(C(=O)CC)=O>>C(C)C=1N=C2C=CC=CC2=NC=1O.CO.O,[],[CH:3]1=[C:2]([C:7](=[CH:6][CH:5]=[CH:4]1)[NH2:8])[NH2:1].[CH3:12][O:11][C:10]([C:13](=[O:16])[CH2:14][CH3:15])=[O:9]>>[CH2:14]([CH3:15])[C:13]=1[N:8]=[C:7]2[CH:6]=[CH:5][CH:4]=[CH:3][C:2]2=[N:1][C:10]=1[OH:9]
